kind,old_id,new_id,old_rel,new_rel
thumb,2008_001,019891b0-f39c-7cee-bc2d-85b83d7ced08,images/paintings/thumbnails/2008_001_thumb.png,images/paintings/thumbnails/019891b0-f39c-7cee-bc2d-85b83d7ced08_thumb.png
large,2008_001,019891b0-f39c-7cee-bc2d-85b83d7ced08,images/paintings/large/2008_001_large.png,images/paintings/large/019891b0-f39c-7cee-bc2d-85b83d7ced08_large.png
thumb,2010_001,019891b0-f39c-752c-bde4-db1ef1f5529c,images/paintings/thumbnails/2010_001_thumb.png,images/paintings/thumbnails/019891b0-f39c-752c-bde4-db1ef1f5529c_thumb.png
large,2010_001,019891b0-f39c-752c-bde4-db1ef1f5529c,images/paintings/large/2010_001_large.png,images/paintings/large/019891b0-f39c-752c-bde4-db1ef1f5529c_large.png
thumb,2011_009,019891b0-f39c-7186-94bc-b7109c05f639,images/paintings/thumbnails/2011_009_thumb.png,images/paintings/thumbnails/019891b0-f39c-7186-94bc-b7109c05f639_thumb.png
large,2011_009,019891b0-f39c-7186-94bc-b7109c05f639,images/paintings/large/2011_009_large.png,images/paintings/large/019891b0-f39c-7186-94bc-b7109c05f639_large.png
thumb,2017_003,019891b0-f39c-7220-b00b-be8e9249f911,images/paintings/thumbnails/2017_003_thumb.png,images/paintings/thumbnails/019891b0-f39c-7220-b00b-be8e9249f911_thumb.png
large,2017_003,019891b0-f39c-7220-b00b-be8e9249f911,images/paintings/large/2017_003_large.png,images/paintings/large/019891b0-f39c-7220-b00b-be8e9249f911_large.png
thumb,2018_002,019891b0-f39c-7a5f-a6de-f1a8172971f6,images/paintings/thumbnails/2018_002_thumb.png,images/paintings/thumbnails/019891b0-f39c-7a5f-a6de-f1a8172971f6_thumb.png
large,2018_002,019891b0-f39c-7a5f-a6de-f1a8172971f6,images/paintings/large/2018_002_large.png,images/paintings/large/019891b0-f39c-7a5f-a6de-f1a8172971f6_large.png
thumb,2018_004,019891b0-f39c-7b9e-bb65-6852f393b302,images/paintings/thumbnails/2018_004_thumb.png,images/paintings/thumbnails/019891b0-f39c-7b9e-bb65-6852f393b302_thumb.png
large,2018_004,019891b0-f39c-7b9e-bb65-6852f393b302,images/paintings/large/2018_004_large.png,images/paintings/large/019891b0-f39c-7b9e-bb65-6852f393b302_large.png
thumb,2018_008,019891b0-f39c-7507-aa0e-43acd4db1f68,images/paintings/thumbnails/2018_008_thumb.png,images/paintings/thumbnails/019891b0-f39c-7507-aa0e-43acd4db1f68_thumb.png
large,2018_008,019891b0-f39c-7507-aa0e-43acd4db1f68,images/paintings/large/2018_008_large.png,images/paintings/large/019891b0-f39c-7507-aa0e-43acd4db1f68_large.png
thumb,2018_010,019891b0-f39c-745a-b6ad-58e4e8545268,images/paintings/thumbnails/2018_010_thumb.png,images/paintings/thumbnails/019891b0-f39c-745a-b6ad-58e4e8545268_thumb.png
large,2018_010,019891b0-f39c-745a-b6ad-58e4e8545268,images/paintings/large/2018_010_large.png,images/paintings/large/019891b0-f39c-745a-b6ad-58e4e8545268_large.png
thumb,2018_012,019891b0-f39c-787c-a46f-62905fa86f16,images/paintings/thumbnails/2018_012_thumb.png,images/paintings/thumbnails/019891b0-f39c-787c-a46f-62905fa86f16_thumb.png
large,2018_012,019891b0-f39c-787c-a46f-62905fa86f16,images/paintings/large/2018_012_large.png,images/paintings/large/019891b0-f39c-787c-a46f-62905fa86f16_large.png
thumb,2018_018,019891b0-f39c-7a34-89ac-966e1e93eb42,images/paintings/thumbnails/2018_018_thumb.png,images/paintings/thumbnails/019891b0-f39c-7a34-89ac-966e1e93eb42_thumb.png
large,2018_018,019891b0-f39c-7a34-89ac-966e1e93eb42,images/paintings/large/2018_018_large.png,images/paintings/large/019891b0-f39c-7a34-89ac-966e1e93eb42_large.png
thumb,2018_021,019891b0-f39c-7f16-a8d3-c83d48beb81e,images/paintings/thumbnails/2018_021_thumb.png,images/paintings/thumbnails/019891b0-f39c-7f16-a8d3-c83d48beb81e_thumb.png
large,2018_021,019891b0-f39c-7f16-a8d3-c83d48beb81e,images/paintings/large/2018_021_large.png,images/paintings/large/019891b0-f39c-7f16-a8d3-c83d48beb81e_large.png
thumb,2018_022,019891b0-f39c-7643-8153-14cf32b528bc,images/paintings/thumbnails/2018_022_thumb.png,images/paintings/thumbnails/019891b0-f39c-7643-8153-14cf32b528bc_thumb.png
large,2018_022,019891b0-f39c-7643-8153-14cf32b528bc,images/paintings/large/2018_022_large.png,images/paintings/large/019891b0-f39c-7643-8153-14cf32b528bc_large.png
thumb,2018_023,019891b0-f39c-7a2d-b50f-e9e6ec2e46b7,images/paintings/thumbnails/2018_023_thumb.png,images/paintings/thumbnails/019891b0-f39c-7a2d-b50f-e9e6ec2e46b7_thumb.png
large,2018_023,019891b0-f39c-7a2d-b50f-e9e6ec2e46b7,images/paintings/large/2018_023_large.png,images/paintings/large/019891b0-f39c-7a2d-b50f-e9e6ec2e46b7_large.png
thumb,2018_024,019891b0-f39c-77f0-b10f-4fece05d42ba,images/paintings/thumbnails/2018_024_thumb.png,images/paintings/thumbnails/019891b0-f39c-77f0-b10f-4fece05d42ba_thumb.png
large,2018_024,019891b0-f39c-77f0-b10f-4fece05d42ba,images/paintings/large/2018_024_large.png,images/paintings/large/019891b0-f39c-77f0-b10f-4fece05d42ba_large.png
thumb,2019_001,019891b0-f39c-7f1a-99db-36b8e31758cb,images/paintings/thumbnails/2019_001_thumb.png,images/paintings/thumbnails/019891b0-f39c-7f1a-99db-36b8e31758cb_thumb.png
large,2019_001,019891b0-f39c-7f1a-99db-36b8e31758cb,images/paintings/large/2019_001_large.png,images/paintings/large/019891b0-f39c-7f1a-99db-36b8e31758cb_large.png
thumb,2019_002,019891b0-f39c-7e21-ae47-81a6092c5a54,images/paintings/thumbnails/2019_002_thumb.png,images/paintings/thumbnails/019891b0-f39c-7e21-ae47-81a6092c5a54_thumb.png
large,2019_002,019891b0-f39c-7e21-ae47-81a6092c5a54,images/paintings/large/2019_002_large.png,images/paintings/large/019891b0-f39c-7e21-ae47-81a6092c5a54_large.png
thumb,2019_003,019891b0-f39c-7cd6-a030-0406121e5164,images/paintings/thumbnails/2019_003_thumb.png,images/paintings/thumbnails/019891b0-f39c-7cd6-a030-0406121e5164_thumb.png
large,2019_003,019891b0-f39c-7cd6-a030-0406121e5164,images/paintings/large/2019_003_large.png,images/paintings/large/019891b0-f39c-7cd6-a030-0406121e5164_large.png
thumb,2020_002,019891b0-f39c-78e0-88f5-2567b5518c8b,images/paintings/thumbnails/2020_002_thumb.png,images/paintings/thumbnails/019891b0-f39c-78e0-88f5-2567b5518c8b_thumb.png
large,2020_002,019891b0-f39c-78e0-88f5-2567b5518c8b,images/paintings/large/2020_002_large.png,images/paintings/large/019891b0-f39c-78e0-88f5-2567b5518c8b_large.png
thumb,2020_003,019891b0-f39c-7f2c-b8af-cbff485e10a5,images/paintings/thumbnails/2020_003_thumb.png,images/paintings/thumbnails/019891b0-f39c-7f2c-b8af-cbff485e10a5_thumb.png
large,2020_003,019891b0-f39c-7f2c-b8af-cbff485e10a5,images/paintings/large/2020_003_large.png,images/paintings/large/019891b0-f39c-7f2c-b8af-cbff485e10a5_large.png
thumb,2021_001,019891b0-f39c-728f-a1de-1b6a07cf80ff,images/paintings/thumbnails/2021_001_thumb.png,images/paintings/thumbnails/019891b0-f39c-728f-a1de-1b6a07cf80ff_thumb.png
large,2021_001,019891b0-f39c-728f-a1de-1b6a07cf80ff,images/paintings/large/2021_001_large.png,images/paintings/large/019891b0-f39c-728f-a1de-1b6a07cf80ff_large.png
thumb,2021_002,019891b0-f39c-7c2c-ab3a-8f771d7ff31d,images/paintings/thumbnails/2021_002_thumb.png,images/paintings/thumbnails/019891b0-f39c-7c2c-ab3a-8f771d7ff31d_thumb.png
large,2021_002,019891b0-f39c-7c2c-ab3a-8f771d7ff31d,images/paintings/large/2021_002_large.png,images/paintings/large/019891b0-f39c-7c2c-ab3a-8f771d7ff31d_large.png
thumb,2021_003,019891b0-f39c-73e0-a9c8-0c6ccf4ed87d,images/paintings/thumbnails/2021_003_thumb.png,images/paintings/thumbnails/019891b0-f39c-73e0-a9c8-0c6ccf4ed87d_thumb.png
large,2021_003,019891b0-f39c-73e0-a9c8-0c6ccf4ed87d,images/paintings/large/2021_003_large.png,images/paintings/large/019891b0-f39c-73e0-a9c8-0c6ccf4ed87d_large.png
thumb,2021_009,019891b0-f39c-7e9f-b136-621667022a8e,images/paintings/thumbnails/2021_009_thumb.png,images/paintings/thumbnails/019891b0-f39c-7e9f-b136-621667022a8e_thumb.png
large,2021_009,019891b0-f39c-7e9f-b136-621667022a8e,images/paintings/large/2021_009_large.png,images/paintings/large/019891b0-f39c-7e9f-b136-621667022a8e_large.png
thumb,2021_010,019891b0-f39c-770a-b647-6b0a8efdc639,images/paintings/thumbnails/2021_010_thumb.png,images/paintings/thumbnails/019891b0-f39c-770a-b647-6b0a8efdc639_thumb.png
large,2021_010,019891b0-f39c-770a-b647-6b0a8efdc639,images/paintings/large/2021_010_large.png,images/paintings/large/019891b0-f39c-770a-b647-6b0a8efdc639_large.png
thumb,2021_011,019891b0-f39c-7b7d-8e54-83ae4f652136,images/paintings/thumbnails/2021_011_thumb.png,images/paintings/thumbnails/019891b0-f39c-7b7d-8e54-83ae4f652136_thumb.png
large,2021_011,019891b0-f39c-7b7d-8e54-83ae4f652136,images/paintings/large/2021_011_large.png,images/paintings/large/019891b0-f39c-7b7d-8e54-83ae4f652136_large.png
thumb,2021_012,019891b0-f39c-78da-b5ed-b11a0a0e8bb1,images/paintings/thumbnails/2021_012_thumb.png,images/paintings/thumbnails/019891b0-f39c-78da-b5ed-b11a0a0e8bb1_thumb.png
large,2021_012,019891b0-f39c-78da-b5ed-b11a0a0e8bb1,images/paintings/large/2021_012_large.png,images/paintings/large/019891b0-f39c-78da-b5ed-b11a0a0e8bb1_large.png
thumb,2021_013,019891b0-f39c-7eb1-abf3-a892d0a3a655,images/paintings/thumbnails/2021_013_thumb.png,images/paintings/thumbnails/019891b0-f39c-7eb1-abf3-a892d0a3a655_thumb.png
large,2021_013,019891b0-f39c-7eb1-abf3-a892d0a3a655,images/paintings/large/2021_013_large.png,images/paintings/large/019891b0-f39c-7eb1-abf3-a892d0a3a655_large.png
thumb,2021_015,019891b0-f39c-7038-a32d-0f2d0cb36be8,images/paintings/thumbnails/2021_015_thumb.png,images/paintings/thumbnails/019891b0-f39c-7038-a32d-0f2d0cb36be8_thumb.png
large,2021_015,019891b0-f39c-7038-a32d-0f2d0cb36be8,images/paintings/large/2021_015_large.png,images/paintings/large/019891b0-f39c-7038-a32d-0f2d0cb36be8_large.png
thumb,2021_016,019891b0-f39c-755d-a7dc-fb045eb4ef1c,images/paintings/thumbnails/2021_016_thumb.png,images/paintings/thumbnails/019891b0-f39c-755d-a7dc-fb045eb4ef1c_thumb.png
large,2021_016,019891b0-f39c-755d-a7dc-fb045eb4ef1c,images/paintings/large/2021_016_large.png,images/paintings/large/019891b0-f39c-755d-a7dc-fb045eb4ef1c_large.png
thumb,2021_017,019891b0-f39c-7bfb-9266-f832146002dd,images/paintings/thumbnails/2021_017_thumb.png,images/paintings/thumbnails/019891b0-f39c-7bfb-9266-f832146002dd_thumb.png
large,2021_017,019891b0-f39c-7bfb-9266-f832146002dd,images/paintings/large/2021_017_large.png,images/paintings/large/019891b0-f39c-7bfb-9266-f832146002dd_large.png
thumb,2021_018,019891b0-f39c-7e6a-a74c-8f5ec5c50381,images/paintings/thumbnails/2021_018_thumb.png,images/paintings/thumbnails/019891b0-f39c-7e6a-a74c-8f5ec5c50381_thumb.png
large,2021_018,019891b0-f39c-7e6a-a74c-8f5ec5c50381,images/paintings/large/2021_018_large.png,images/paintings/large/019891b0-f39c-7e6a-a74c-8f5ec5c50381_large.png
thumb,2021_019,019891b0-f39c-7fd8-9336-d5c9897af012,images/paintings/thumbnails/2021_019_thumb.png,images/paintings/thumbnails/019891b0-f39c-7fd8-9336-d5c9897af012_thumb.png
large,2021_019,019891b0-f39c-7fd8-9336-d5c9897af012,images/paintings/large/2021_019_large.png,images/paintings/large/019891b0-f39c-7fd8-9336-d5c9897af012_large.png
thumb,2021_020,019891b0-f39c-7aff-a45f-54ed6d61069b,images/paintings/thumbnails/2021_020_thumb.png,images/paintings/thumbnails/019891b0-f39c-7aff-a45f-54ed6d61069b_thumb.png
large,2021_020,019891b0-f39c-7aff-a45f-54ed6d61069b,images/paintings/large/2021_020_large.png,images/paintings/large/019891b0-f39c-7aff-a45f-54ed6d61069b_large.png
thumb,2021_021,019891b0-f39c-7af0-82e2-2e72570b0aa1,images/paintings/thumbnails/2021_021_thumb.png,images/paintings/thumbnails/019891b0-f39c-7af0-82e2-2e72570b0aa1_thumb.png
large,2021_021,019891b0-f39c-7af0-82e2-2e72570b0aa1,images/paintings/large/2021_021_large.png,images/paintings/large/019891b0-f39c-7af0-82e2-2e72570b0aa1_large.png
thumb,2021_022,019891b0-f39c-78dc-adb1-0aa1b3b74a00,images/paintings/thumbnails/2021_022_thumb.png,images/paintings/thumbnails/019891b0-f39c-78dc-adb1-0aa1b3b74a00_thumb.png
large,2021_022,019891b0-f39c-78dc-adb1-0aa1b3b74a00,images/paintings/large/2021_022_large.png,images/paintings/large/019891b0-f39c-78dc-adb1-0aa1b3b74a00_large.png
thumb,2021_024,019891b0-f39c-7597-8177-ccdf69e29071,images/paintings/thumbnails/2021_024_thumb.png,images/paintings/thumbnails/019891b0-f39c-7597-8177-ccdf69e29071_thumb.png
large,2021_024,019891b0-f39c-7597-8177-ccdf69e29071,images/paintings/large/2021_024_large.png,images/paintings/large/019891b0-f39c-7597-8177-ccdf69e29071_large.png
thumb,2021_028,019891b0-f39c-7c4a-a8f5-77fdf9b0873a,images/paintings/thumbnails/2021_028_thumb.png,images/paintings/thumbnails/019891b0-f39c-7c4a-a8f5-77fdf9b0873a_thumb.png
large,2021_028,019891b0-f39c-7c4a-a8f5-77fdf9b0873a,images/paintings/large/2021_028_large.png,images/paintings/large/019891b0-f39c-7c4a-a8f5-77fdf9b0873a_large.png
thumb,2021_034,019891b0-f39c-7841-9423-b51b365a7b9c,images/paintings/thumbnails/2021_034_thumb.png,images/paintings/thumbnails/019891b0-f39c-7841-9423-b51b365a7b9c_thumb.png
large,2021_034,019891b0-f39c-7841-9423-b51b365a7b9c,images/paintings/large/2021_034_large.png,images/paintings/large/019891b0-f39c-7841-9423-b51b365a7b9c_large.png
thumb,2021_036,019891b0-f39c-7871-b204-09fa520d0d23,images/paintings/thumbnails/2021_036_thumb.png,images/paintings/thumbnails/019891b0-f39c-7871-b204-09fa520d0d23_thumb.png
large,2021_036,019891b0-f39c-7871-b204-09fa520d0d23,images/paintings/large/2021_036_large.png,images/paintings/large/019891b0-f39c-7871-b204-09fa520d0d23_large.png
thumb,2022.8_001,019891b0-f39c-79ee-915a-34d3aa1decd1,images/paintings/thumbnails/2022.8_001_thumb.png,images/paintings/thumbnails/019891b0-f39c-79ee-915a-34d3aa1decd1_thumb.png
large,2022.8_001,019891b0-f39c-79ee-915a-34d3aa1decd1,images/paintings/large/2022.8_001_large.png,images/paintings/large/019891b0-f39c-79ee-915a-34d3aa1decd1_large.png
thumb,2022_001,019891b0-f39c-78a1-8300-94cb02dbf7bc,images/paintings/thumbnails/2022_001_thumb.png,images/paintings/thumbnails/019891b0-f39c-78a1-8300-94cb02dbf7bc_thumb.png
large,2022_001,019891b0-f39c-78a1-8300-94cb02dbf7bc,images/paintings/large/2022_001_large.png,images/paintings/large/019891b0-f39c-78a1-8300-94cb02dbf7bc_large.png
thumb,2022_002,019891b0-f39c-7d61-9f3a-c5847a00bde5,images/paintings/thumbnails/2022_002_thumb.png,images/paintings/thumbnails/019891b0-f39c-7d61-9f3a-c5847a00bde5_thumb.png
large,2022_002,019891b0-f39c-7d61-9f3a-c5847a00bde5,images/paintings/large/2022_002_large.png,images/paintings/large/019891b0-f39c-7d61-9f3a-c5847a00bde5_large.png
thumb,2022_003,019891b0-f39c-7904-960b-4b52cf3fe52e,images/paintings/thumbnails/2022_003_thumb.png,images/paintings/thumbnails/019891b0-f39c-7904-960b-4b52cf3fe52e_thumb.png
large,2022_003,019891b0-f39c-7904-960b-4b52cf3fe52e,images/paintings/large/2022_003_large.png,images/paintings/large/019891b0-f39c-7904-960b-4b52cf3fe52e_large.png
thumb,2022_004,019891b0-f39c-71be-8987-5f3e69224ab5,images/paintings/thumbnails/2022_004_thumb.png,images/paintings/thumbnails/019891b0-f39c-71be-8987-5f3e69224ab5_thumb.png
large,2022_004,019891b0-f39c-71be-8987-5f3e69224ab5,images/paintings/large/2022_004_large.png,images/paintings/large/019891b0-f39c-71be-8987-5f3e69224ab5_large.png
thumb,2022_005,019891b0-f39c-7a96-8e1b-28d8310e36dd,images/paintings/thumbnails/2022_005_thumb.png,images/paintings/thumbnails/019891b0-f39c-7a96-8e1b-28d8310e36dd_thumb.png
large,2022_005,019891b0-f39c-7a96-8e1b-28d8310e36dd,images/paintings/large/2022_005_large.png,images/paintings/large/019891b0-f39c-7a96-8e1b-28d8310e36dd_large.png
thumb,2022_006,019891b0-f39c-7aff-87c6-457d842ba0c2,images/paintings/thumbnails/2022_006_thumb.png,images/paintings/thumbnails/019891b0-f39c-7aff-87c6-457d842ba0c2_thumb.png
large,2022_006,019891b0-f39c-7aff-87c6-457d842ba0c2,images/paintings/large/2022_006_large.png,images/paintings/large/019891b0-f39c-7aff-87c6-457d842ba0c2_large.png
thumb,2022_007,019891b0-f39c-78e8-be37-c859eb030659,images/paintings/thumbnails/2022_007_thumb.png,images/paintings/thumbnails/019891b0-f39c-78e8-be37-c859eb030659_thumb.png
large,2022_007,019891b0-f39c-78e8-be37-c859eb030659,images/paintings/large/2022_007_large.png,images/paintings/large/019891b0-f39c-78e8-be37-c859eb030659_large.png
thumb,2022_008,019891b0-f39c-7cc5-a5a0-3dd4f7622f0d,images/paintings/thumbnails/2022_008_thumb.png,images/paintings/thumbnails/019891b0-f39c-7cc5-a5a0-3dd4f7622f0d_thumb.png
large,2022_008,019891b0-f39c-7cc5-a5a0-3dd4f7622f0d,images/paintings/large/2022_008_large.png,images/paintings/large/019891b0-f39c-7cc5-a5a0-3dd4f7622f0d_large.png
thumb,2022_009,019891b0-f39c-7359-bb22-291a6b33c28a,images/paintings/thumbnails/2022_009_thumb.png,images/paintings/thumbnails/019891b0-f39c-7359-bb22-291a6b33c28a_thumb.png
large,2022_009,019891b0-f39c-7359-bb22-291a6b33c28a,images/paintings/large/2022_009_large.png,images/paintings/large/019891b0-f39c-7359-bb22-291a6b33c28a_large.png
thumb,2022_010,019891b0-f39c-7190-9005-95da13ac1ad1,images/paintings/thumbnails/2022_010_thumb.png,images/paintings/thumbnails/019891b0-f39c-7190-9005-95da13ac1ad1_thumb.png
large,2022_010,019891b0-f39c-7190-9005-95da13ac1ad1,images/paintings/large/2022_010_large.png,images/paintings/large/019891b0-f39c-7190-9005-95da13ac1ad1_large.png
thumb,2022_011,019891b0-f39c-72a2-ae2f-04a06f5a0c75,images/paintings/thumbnails/2022_011_thumb.png,images/paintings/thumbnails/019891b0-f39c-72a2-ae2f-04a06f5a0c75_thumb.png
large,2022_011,019891b0-f39c-72a2-ae2f-04a06f5a0c75,images/paintings/large/2022_011_large.png,images/paintings/large/019891b0-f39c-72a2-ae2f-04a06f5a0c75_large.png
thumb,2022_012,019891b0-f39c-73d5-ae97-3d296dba78a1,images/paintings/thumbnails/2022_012_thumb.png,images/paintings/thumbnails/019891b0-f39c-73d5-ae97-3d296dba78a1_thumb.png
large,2022_012,019891b0-f39c-73d5-ae97-3d296dba78a1,images/paintings/large/2022_012_large.png,images/paintings/large/019891b0-f39c-73d5-ae97-3d296dba78a1_large.png
thumb,2022_013,019891b0-f39c-7939-897c-cc57bc9b4a35,images/paintings/thumbnails/2022_013_thumb.png,images/paintings/thumbnails/019891b0-f39c-7939-897c-cc57bc9b4a35_thumb.png
large,2022_013,019891b0-f39c-7939-897c-cc57bc9b4a35,images/paintings/large/2022_013_large.png,images/paintings/large/019891b0-f39c-7939-897c-cc57bc9b4a35_large.png
thumb,2022_014,019891b0-f39c-7e36-872a-d88bb9d03b07,images/paintings/thumbnails/2022_014_thumb.png,images/paintings/thumbnails/019891b0-f39c-7e36-872a-d88bb9d03b07_thumb.png
large,2022_014,019891b0-f39c-7e36-872a-d88bb9d03b07,images/paintings/large/2022_014_large.png,images/paintings/large/019891b0-f39c-7e36-872a-d88bb9d03b07_large.png
thumb,2022_015,019891b0-f39c-7f63-87fd-b7a8a860889f,images/paintings/thumbnails/2022_015_thumb.png,images/paintings/thumbnails/019891b0-f39c-7f63-87fd-b7a8a860889f_thumb.png
large,2022_015,019891b0-f39c-7f63-87fd-b7a8a860889f,images/paintings/large/2022_015_large.png,images/paintings/large/019891b0-f39c-7f63-87fd-b7a8a860889f_large.png
thumb,2022_016,019891b0-f39c-7126-9d59-2a201c103ed7,images/paintings/thumbnails/2022_016_thumb.png,images/paintings/thumbnails/019891b0-f39c-7126-9d59-2a201c103ed7_thumb.png
large,2022_016,019891b0-f39c-7126-9d59-2a201c103ed7,images/paintings/large/2022_016_large.png,images/paintings/large/019891b0-f39c-7126-9d59-2a201c103ed7_large.png
thumb,2022_017,019891b0-f39c-7889-b687-954b688b7f48,images/paintings/thumbnails/2022_017_thumb.png,images/paintings/thumbnails/019891b0-f39c-7889-b687-954b688b7f48_thumb.png
large,2022_017,019891b0-f39c-7889-b687-954b688b7f48,images/paintings/large/2022_017_large.png,images/paintings/large/019891b0-f39c-7889-b687-954b688b7f48_large.png
thumb,2022_018,019891b0-f39c-7403-80d4-4da1440b7976,images/paintings/thumbnails/2022_018_thumb.png,images/paintings/thumbnails/019891b0-f39c-7403-80d4-4da1440b7976_thumb.png
large,2022_018,019891b0-f39c-7403-80d4-4da1440b7976,images/paintings/large/2022_018_large.png,images/paintings/large/019891b0-f39c-7403-80d4-4da1440b7976_large.png
thumb,2022_019,019891b0-f39c-792d-b5e8-b80ef8754ca2,images/paintings/thumbnails/2022_019_thumb.png,images/paintings/thumbnails/019891b0-f39c-792d-b5e8-b80ef8754ca2_thumb.png
large,2022_019,019891b0-f39c-792d-b5e8-b80ef8754ca2,images/paintings/large/2022_019_large.png,images/paintings/large/019891b0-f39c-792d-b5e8-b80ef8754ca2_large.png
thumb,2022_020,019891b0-f39c-78d6-a004-668a437c399e,images/paintings/thumbnails/2022_020_thumb.png,images/paintings/thumbnails/019891b0-f39c-78d6-a004-668a437c399e_thumb.png
large,2022_020,019891b0-f39c-78d6-a004-668a437c399e,images/paintings/large/2022_020_large.png,images/paintings/large/019891b0-f39c-78d6-a004-668a437c399e_large.png
thumb,2022_021,019891b0-f39c-71dd-be15-f32291c15cc6,images/paintings/thumbnails/2022_021_thumb.png,images/paintings/thumbnails/019891b0-f39c-71dd-be15-f32291c15cc6_thumb.png
large,2022_021,019891b0-f39c-71dd-be15-f32291c15cc6,images/paintings/large/2022_021_large.png,images/paintings/large/019891b0-f39c-71dd-be15-f32291c15cc6_large.png
thumb,2022_022,019891b0-f39c-7b75-910e-8ef8046a7bb9,images/paintings/thumbnails/2022_022_thumb.png,images/paintings/thumbnails/019891b0-f39c-7b75-910e-8ef8046a7bb9_thumb.png
large,2022_022,019891b0-f39c-7b75-910e-8ef8046a7bb9,images/paintings/large/2022_022_large.png,images/paintings/large/019891b0-f39c-7b75-910e-8ef8046a7bb9_large.png
